,e0b9d79758b - initial,,,,,,408a28e7676 - sup json,,,,,,01b8046c58e - WithName WithValues,,,,,,32596ed3ef9 - only v>3,,,,,,f7ac1e31be7 - no WithName,,,,,
,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit
scheduler_scheduling_attempt_duration_seconds,6.782823233,4.685082873,13.63380282,19.87878788,53.81818182,ms,4.250349427,3.244667503,7.96,13.2972973,30.11764706,ms,3.872862618,3.136363636,6.424242424,12.625,25.45454545,ms,0.860510484,0.586836518,1.6,2.85,6.4,ms,0.577448825,0.339082058,0.793478261,1.483636364,5.704347826,ms
BenchmarkPerfScheduling/SchedulingSecrets/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,1493.356695,1369.302326,2560,3840,4864,ms,942.4704264,947.4942529,2092.846715,2326.423358,2513.284672,ms,988.2463298,991.5025907,2167.361963,2363.680982,2520.736196,ms,1.120384235,0.754285714,2.111111111,3.288888889,8.861538462,ms,0.699618241,0.605405405,0.9,2.24,5.236363636,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,250,125,386,386,386,pods/s,250,132,382,382,382,pods/s,316.5,161,472,472,472,pods/s,250,233,332,332,332,pods/s,356,176,536,536,536,pods/s
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,5.96953141,3.890359168,13.29230769,18,31.33333333,ms,1.757875233,1.350819672,3.578947368,5.684210526,11,ms,1.52438809,1.278940397,2.8416,4.528301887,10.51428571,ms,1.97369831,1.408210181,4.363636364,5.97979798,12.16,ms,4.535615265,3.288659794,9.731958763,13.8556701,26.18181818,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,1431.473459,1512.536825,2350.507365,2455.253682,2539.050736,ms,0.645176255,0.368918919,1.422222222,2.305084746,5.066666667,ms,0.596033273,0.343266476,1.381132075,2.179310345,4.266666667,ms,0.70557069,0.418604651,1.490076336,2.453333333,5.221052632,ms,1056.665271,1068.877375,2145.760518,2352.880259,2518.576052,ms
BenchmarkPerfScheduling/SchedulingInTreePVs/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
